0
,psnr[25.955051415685244, 23.922659851440727, 22.440684731834267, 21.82501798719174, 21.180542289760723, 20.70113103092958, 20.29913020744014, 19.80191336981811, 19.604104578540845, 19.045504926076855]
,mse[43.15888214111328, 68.61003112792969, 96.64551544189453, 111.50238037109375, 129.80838012695312, 145.96331787109375, 160.77117919921875, 180.74415588378906, 194.42340087890625, 218.29287719726562]
,mae,HSS20[0.526341369388094, 0.4341960706292962, 0.30841179753371056, 0.2774301726307388, 0.25154870445030714, 0.21973884242505573, 0.17347098509340753, 0.14033459393154013, 0.1245615475558243, 0.08641676404715791]
,HSS35[-1.5120301418353633e-05, -5.9876166785934565e-05, 0.0, -4.488080555660278e-05, 0.0, -1.5134962930505956e-05, 0.0, -0.00022186841110123477, -0.0001747173473275613, -4.536227603763433e-05]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.37477477477477483, 0.29699925776693886, 0.2020999814160937, 0.1814447718546299, 0.1644533533784348, 0.14399363564041368, 0.11502072093205097, 0.09599878289974138, 0.08678678678678678, 0.06670353217667796]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[434.3404846191406, 570.7764892578125, 688.9044189453125, 770.6121826171875, 853.1083984375, 929.50439453125, 986.2529296875, 1064.5162353515625, 1113.773193359375, 1195.708251953125]
,lpips[30.653423070907593, 37.94389367103577, 38.89695107936859, 39.265888929367065, 40.994709730148315, 41.75128936767578, 43.337905406951904, 44.43685710430145, 46.60156965255737, 47.41466045379639]
,ssim[0.7629908662468343, 0.6784315023387177, 0.6255514053178709, 0.5825725029540916, 0.5428836194921862, 0.5162669564663691, 0.4991280568707388, 0.4755556109550671, 0.46191755005876195, 0.4472872464079362]
1
,psnr[23.329873590376042, 21.45328872436916, 20.116175728351333, 19.135712911035696, 18.495690747438907, 18.249425157139203, 17.900011550685132, 17.567232972596823, 17.385499853377716, 17.252112475750426]
,mse[77.30902099609375, 118.91226196289062, 161.6373291015625, 203.13345336914062, 234.27838134765625, 247.5096893310547, 267.7652282714844, 289.19866943359375, 303.2470397949219, 317.3987121582031]
,mae,HSS20[0.5997861202576001, 0.5380568420583439, 0.43826337555340544, 0.3671540975451846, 0.3314681243370041, 0.28012661155046065, 0.24445376293246393, 0.24102979335931446, 0.2322110096900372, 0.21095723416910642]
